Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98984         0.00048         NORM           
1      0.5000          0.98541         0.00046         NORM           
2      1.0000          0.98270         0.00042         NORM           
3      5.0000          0.98199         0.00045         NORM           
4      10.0000         0.98162         0.00049         NORM           
5      20.0000         0.98169         0.00048         NORM           
6      50.0000         0.97881         0.00052         NORM           
7      100.0000        0.97832         0.00048         NORM           
8      200.0000        0.97572         0.00053         NORM           
9      250.0000        0.97499         0.00046         NORM           
10     350.0000        0.97321         0.00036         NORM           
11     399.5000        0.97358         0.00016         HIGH           
12     400.0000        0.97322         0.00016         HIGH           
13     400.0500        0.97333         0.00016         HIGH           
14     400.1500        0.97351         0.00018         HIGH           
15     400.3000        0.97372         0.00016         HIGH           
16     400.5000        0.97432         0.00015         HIGH           
17     401.0000        0.97567         0.00017         HIGH           
18     402.0000        0.97725         0.00016         HIGH           
19     405.0000        0.97751         0.00016         HIGH           
20     408.0000        0.97760         0.00017         HIGH           
21     411.0000        0.97752         0.00051         NORM           
22     414.0000        0.97803         0.00047         NORM           
23     429.0000        0.97703         0.00044         NORM           
24     449.0000        0.97781         0.00045         NORM           
