Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98660         0.00044         NORM           
1      0.5000          0.98109         0.00046         NORM           
2      1.0000          0.97630         0.00043         NORM           
3      5.0000          0.97516         0.00055         NORM           
4      10.0000         0.97568         0.00045         NORM           
5      20.0000         0.97346         0.00050         NORM           
6      50.0000         0.97185         0.00041         NORM           
7      100.0000        0.96954         0.00049         NORM           
8      200.0000        0.96636         0.00039         NORM           
9      250.0000        0.96457         0.00042         NORM           
10     350.0000        0.96266         0.00035         NORM           
11     399.5000        0.96081         0.00016         HIGH           
12     400.0000        0.96124         0.00017         HIGH           
13     400.0500        0.96094         0.00016         HIGH           
14     400.1500        0.96107         0.00014         HIGH           
15     400.3000        0.96161         0.00016         HIGH           
16     400.5000        0.96269         0.00017         HIGH           
17     401.0000        0.96506         0.00014         HIGH           
18     402.0000        0.96760         0.00016         HIGH           
19     405.0000        0.96783         0.00014         HIGH           
20     408.0000        0.96789         0.00016         HIGH           
21     411.0000        0.96760         0.00049         NORM           
22     414.0000        0.96714         0.00058         NORM           
23     429.0000        0.96776         0.00042         NORM           
24     449.0000        0.96727         0.00037         NORM           
