Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98469         0.00051         NORM           
1      0.5000          0.97903         0.00050         NORM           
2      1.0000          0.97430         0.00045         NORM           
3      5.0000          0.97504         0.00046         NORM           
4      10.0000         0.97322         0.00050         NORM           
5      20.0000         0.97223         0.00042         NORM           
6      50.0000         0.97052         0.00047         NORM           
7      100.0000        0.96724         0.00041         NORM           
8      150.0000        0.96586         0.00043         NORM           
