Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98583         0.00056         NORM           
1      0.5000          0.97884         0.00037         NORM           
2      1.0000          0.97453         0.00053         NORM           
3      5.0000          0.97415         0.00045         NORM           
4      10.0000         0.97376         0.00044         NORM           
5      20.0000         0.97316         0.00044         NORM           
6      50.0000         0.96971         0.00036         NORM           
7      350.0000        0.95841         0.00044         NORM           
8      400.0000        0.95875         0.00034         HIGH           
9      400.0500        0.95902         0.00037         HIGH           
10     400.1500        0.95864         0.00032         HIGH           
11     400.3000        0.95923         0.00032         HIGH           
12     400.5000        0.96042         0.00029         HIGH           
13     401.0000        0.96301         0.00036         HIGH           
14     402.0000        0.96470         0.00037         HIGH           
15     405.0000        0.96539         0.00031         HIGH           
16     408.0000        0.96555         0.00033         HIGH           
17     433.0000        0.96586         0.00040         NORM           
18     453.0000        0.96568         0.00048         NORM           
