Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98469         0.00051         NORM           
1      0.5000          0.97957         0.00040         NORM           
2      1.0000          0.97376         0.00050         NORM           
3      5.0000          0.97370         0.00044         NORM           
4      10.0000         0.97415         0.00043         NORM           
5      20.0000         0.97306         0.00048         NORM           
6      50.0000         0.97040         0.00053         NORM           
7      100.0000        0.96675         0.00048         NORM           
8      200.0000        0.96374         0.00044         NORM           
9      250.0000        0.96256         0.00043         NORM           
10     350.0000        0.96018         0.00041         NORM           
11     399.5000        0.95902         0.00015         HIGH           
12     400.0000        0.95929         0.00016         HIGH           
13     400.0500        0.95901         0.00015         HIGH           
14     400.1500        0.95914         0.00015         HIGH           
15     400.3000        0.95971         0.00016         HIGH           
16     400.5000        0.96074         0.00016         HIGH           
17     401.0000        0.96341         0.00015         HIGH           
18     402.0000        0.96576         0.00017         HIGH           
19     405.0000        0.96585         0.00015         HIGH           
20     408.0000        0.96636         0.00015         HIGH           
21     411.0000        0.96579         0.00039         NORM           
22     414.0000        0.96649         0.00049         NORM           
23     429.0000        0.96530         0.00042         NORM           
24     449.0000        0.96605         0.00046         NORM           
