Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98699         0.00048         NORM           
1      0.5000          0.97989         0.00045         NORM           
2      1.0000          0.97618         0.00047         NORM           
3      5.0000          0.97591         0.00051         NORM           
4      10.0000         0.97584         0.00042         NORM           
5      20.0000         0.97414         0.00041         NORM           
6      50.0000         0.97226         0.00037         NORM           
7      100.0000        0.96948         0.00037         NORM           
8      200.0000        0.96641         0.00040         NORM           
9      250.0000        0.96601         0.00055         NORM           
10     350.0000        0.96303         0.00050         NORM           
11     399.5000        0.96240         0.00015         HIGH           
12     400.0000        0.96255         0.00015         HIGH           
13     400.0500        0.96237         0.00016         HIGH           
14     400.1500        0.96250         0.00015         HIGH           
15     400.3000        0.96290         0.00015         HIGH           
16     400.5000        0.96384         0.00016         HIGH           
17     401.0000        0.96634         0.00015         HIGH           
18     402.0000        0.96843         0.00015         HIGH           
19     405.0000        0.96921         0.00015         HIGH           
20     408.0000        0.96872         0.00016         HIGH           
21     411.0000        0.96893         0.00042         NORM           
22     414.0000        0.96964         0.00036         NORM           
23     429.0000        0.96892         0.00046         NORM           
24     449.0000        0.96906         0.00050         NORM           
