Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98699         0.00048         NORM           
1      0.5000          0.98070         0.00045         NORM           
2      1.0000          0.97561         0.00044         NORM           
3      5.0000          0.97633         0.00045         NORM           
4      10.0000         0.97647         0.00042         NORM           
5      20.0000         0.97418         0.00043         NORM           
6      50.0000         0.97249         0.00039         NORM           
7      350.0000        0.96140         0.00043         NORM           
8      400.0000        0.96211         0.00043         HIGH           
9      400.0500        0.96200         0.00034         HIGH           
10     400.1500        0.96261         0.00036         HIGH           
11     400.3000        0.96180         0.00035         HIGH           
12     400.5000        0.96370         0.00037         HIGH           
13     401.0000        0.96580         0.00039         HIGH           
14     402.0000        0.96807         0.00030         HIGH           
15     405.0000        0.96811         0.00038         HIGH           
16     408.0000        0.96828         0.00036         HIGH           
17     433.0000        0.96801         0.00037         NORM           
18     453.0000        0.96862         0.00046         NORM           
