Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98679         0.00047         NORM           
1      0.5000          0.98245         0.00053         NORM           
2      1.0000          0.97828         0.00047         NORM           
3      5.0000          0.97899         0.00048         NORM           
4      10.0000         0.97938         0.00045         NORM           
5      20.0000         0.97719         0.00042         NORM           
6      50.0000         0.97563         0.00051         NORM           
7      100.0000        0.97435         0.00048         NORM           
8      200.0000        0.96966         0.00047         NORM           
9      250.0000        0.96923         0.00055         NORM           
10     350.0000        0.96738         0.00044         NORM           
11     399.5000        0.96776         0.00016         HIGH           
12     400.0000        0.96806         0.00018         HIGH           
13     400.0500        0.96770         0.00017         HIGH           
14     400.1500        0.96785         0.00017         HIGH           
15     400.3000        0.96842         0.00015         HIGH           
16     400.5000        0.96899         0.00015         HIGH           
17     401.0000        0.97118         0.00015         HIGH           
18     402.0000        0.97334         0.00016         HIGH           
19     405.0000        0.97321         0.00017         HIGH           
20     408.0000        0.97312         0.00017         HIGH           
21     411.0000        0.97308         0.00040         NORM           
22     414.0000        0.97302         0.00049         NORM           
23     429.0000        0.97368         0.00052         NORM           
24     449.0000        0.97312         0.00037         NORM           
