Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98334         0.00049         NORM           
1      0.5000          0.97718         0.00039         NORM           
2      1.0000          0.97250         0.00046         NORM           
3      5.0000          0.97227         0.00047         NORM           
4      10.0000         0.97131         0.00047         NORM           
5      20.0000         0.97066         0.00039         NORM           
6      50.0000         0.96808         0.00041         NORM           
7      100.0000        0.96607         0.00047         NORM           
8      200.0000        0.96329         0.00039         NORM           
9      250.0000        0.96128         0.00047         NORM           
10     350.0000        0.95940         0.00035         NORM           
11     399.5000        0.95854         0.00017         HIGH           
12     400.0000        0.95874         0.00014         HIGH           
13     400.0500        0.95882         0.00015         HIGH           
14     400.1500        0.95867         0.00015         HIGH           
15     400.3000        0.95906         0.00016         HIGH           
16     400.5000        0.95999         0.00016         HIGH           
17     401.0000        0.96304         0.00015         HIGH           
18     402.0000        0.96546         0.00015         HIGH           
19     405.0000        0.96578         0.00016         HIGH           
20     408.0000        0.96581         0.00014         HIGH           
21     411.0000        0.96618         0.00037         NORM           
22     414.0000        0.96550         0.00046         NORM           
23     429.0000        0.96607         0.00039         NORM           
24     449.0000        0.96528         0.00043         NORM           
