Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98435         0.00059         NORM           
1      0.5000          0.97910         0.00043         NORM           
2      1.0000          0.97515         0.00059         NORM           
3      5.0000          0.97442         0.00045         NORM           
4      10.0000         0.97244         0.00053         NORM           
5      20.0000         0.97203         0.00039         NORM           
6      50.0000         0.96942         0.00050         NORM           
7      350.0000        0.95769         0.00047         NORM           
8      400.0000        0.95803         0.00034         HIGH           
9      400.0500        0.95811         0.00037         HIGH           
10     400.1500        0.95879         0.00042         HIGH           
11     400.3000        0.95875         0.00038         HIGH           
12     400.5000        0.96034         0.00043         HIGH           
13     401.0000        0.96144         0.00036         HIGH           
14     402.0000        0.96435         0.00039         HIGH           
15     405.0000        0.96601         0.00044         HIGH           
16     408.0000        0.96497         0.00040         HIGH           
17     433.0000        0.96513         0.00052         NORM           
18     453.0000        0.96417         0.00048         NORM           
