Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98119         0.00054         NORM           
1      0.5000          0.97638         0.00045         NORM           
2      1.0000          0.97303         0.00043         NORM           
3      5.0000          0.97044         0.00039         NORM           
4      10.0000         0.97072         0.00048         NORM           
5      20.0000         0.97005         0.00046         NORM           
6      50.0000         0.96813         0.00058         NORM           
7      350.0000        0.95879         0.00040         NORM           
8      400.0000        0.95867         0.00034         HIGH           
9      400.0500        0.95811         0.00033         HIGH           
10     400.1500        0.95885         0.00035         HIGH           
11     400.3000        0.95999         0.00036         HIGH           
12     400.5000        0.96043         0.00033         HIGH           
13     401.0000        0.96310         0.00038         HIGH           
14     402.0000        0.96515         0.00034         HIGH           
15     405.0000        0.96516         0.00042         HIGH           
16     408.0000        0.96568         0.00030         HIGH           
17     433.0000        0.96531         0.00038         NORM           
18     453.0000        0.96549         0.00039         NORM           
