Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.94248         0.00043         NORM           
1      0.5000          0.94268         0.00048         NORM           
2      1.0000          0.94271         0.00035         NORM           
3      5.0000          0.94320         0.00038         NORM           
4      10.0000         0.94233         0.00037         NORM           
5      20.0000         0.94267         0.00034         NORM           
6      50.0000         0.94339         0.00040         NORM           
7      100.0000        0.94214         0.00039         NORM           
8      200.0000        0.94223         0.00043         NORM           
9      250.0000        0.94158         0.00049         NORM           
10     350.0000        0.94147         0.00042         NORM           
11     399.5000        0.94202         0.00014         HIGH           
12     400.0000        0.94176         0.00014         HIGH           
13     400.0500        0.94166         0.00013         HIGH           
14     400.1500        0.94165         0.00013         HIGH           
15     400.3000        0.94195         0.00014         HIGH           
16     400.5000        0.94209         0.00015         HIGH           
17     401.0000        0.94186         0.00015         HIGH           
18     402.0000        0.94178         0.00014         HIGH           
19     405.0000        0.94172         0.00014         HIGH           
20     408.0000        0.94186         0.00014         HIGH           
21     411.0000        0.94192         0.00042         NORM           
22     414.0000        0.94236         0.00037         NORM           
23     429.0000        0.94191         0.00033         NORM           
24     449.0000        0.94118         0.00038         NORM           
