Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.97605         0.00047         NORM           
1      0.5000          0.97554         0.00038         NORM           
2      1.0000          0.97218         0.00038         NORM           
3      5.0000          0.97058         0.00042         NORM           
4      10.0000         0.97048         0.00049         NORM           
5      20.0000         0.96961         0.00042         NORM           
6      50.0000         0.96830         0.00044         NORM           
7      350.0000        0.95891         0.00049         NORM           
8      400.0000        0.95910         0.00035         HIGH           
9      400.0500        0.95870         0.00029         HIGH           
10     400.1500        0.95890         0.00037         HIGH           
11     400.3000        0.95941         0.00037         HIGH           
12     400.5000        0.96016         0.00038         HIGH           
13     401.0000        0.96156         0.00034         HIGH           
14     402.0000        0.96272         0.00036         HIGH           
15     405.0000        0.96265         0.00028         HIGH           
16     408.0000        0.96262         0.00040         HIGH           
17     433.0000        0.96232         0.00047         NORM           
18     453.0000        0.96285         0.00046         NORM           
