Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.97605         0.00047         NORM           
1      0.5000          0.97454         0.00038         NORM           
2      1.0000          0.97192         0.00046         NORM           
3      5.0000          0.97013         0.00051         NORM           
4      10.0000         0.97028         0.00051         NORM           
5      20.0000         0.97040         0.00039         NORM           
6      50.0000         0.96797         0.00050         NORM           
7      100.0000        0.96629         0.00053         NORM           
8      200.0000        0.96277         0.00046         NORM           
9      250.0000        0.96172         0.00036         NORM           
10     350.0000        0.95977         0.00045         NORM           
11     399.5000        0.95945         0.00015         HIGH           
12     400.0000        0.95955         0.00017         HIGH           
13     400.0500        0.95981         0.00015         HIGH           
14     400.1500        0.95968         0.00017         HIGH           
15     400.3000        0.95980         0.00015         HIGH           
16     400.5000        0.96055         0.00017         HIGH           
17     401.0000        0.96214         0.00016         HIGH           
18     402.0000        0.96315         0.00018         HIGH           
19     405.0000        0.96352         0.00015         HIGH           
20     408.0000        0.96360         0.00016         HIGH           
21     411.0000        0.96372         0.00049         NORM           
22     414.0000        0.96380         0.00046         NORM           
23     429.0000        0.96394         0.00046         NORM           
24     449.0000        0.96394         0.00045         NORM           
