Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98334         0.00049         NORM           
1      0.5000          0.97682         0.00050         NORM           
2      1.0000          0.97354         0.00051         NORM           
3      5.0000          0.97338         0.00045         NORM           
4      10.0000         0.97243         0.00055         NORM           
5      20.0000         0.97104         0.00053         NORM           
6      50.0000         0.96849         0.00036         NORM           
7      350.0000        0.95769         0.00049         NORM           
8      400.0000        0.95815         0.00014         HIGH           
9      400.0500        0.95810         0.00017         HIGH           
10     400.1500        0.95835         0.00015         HIGH           
11     400.3000        0.95887         0.00015         HIGH           
12     400.5000        0.95982         0.00015         HIGH           
13     401.0000        0.96260         0.00016         HIGH           
