Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98583         0.00056         NORM           
1      0.5000          0.97811         0.00044         NORM           
2      1.0000          0.97461         0.00050         NORM           
3      5.0000          0.97415         0.00046         NORM           
4      10.0000         0.97402         0.00043         NORM           
5      20.0000         0.97157         0.00036         NORM           
6      50.0000         0.96969         0.00035         NORM           
7      100.0000        0.96752         0.00039         NORM           
8      200.0000        0.96343         0.00042         NORM           
9      250.0000        0.96382         0.00046         NORM           
10     350.0000        0.96102         0.00052         NORM           
11     399.5000        0.95947         0.00016         HIGH           
12     400.0000        0.95931         0.00016         HIGH           
13     400.0500        0.95935         0.00014         HIGH           
14     400.1500        0.95942         0.00014         HIGH           
15     400.3000        0.95980         0.00014         HIGH           
16     400.5000        0.96084         0.00015         HIGH           
17     401.0000        0.96352         0.00016         HIGH           
18     402.0000        0.96607         0.00016         HIGH           
19     405.0000        0.96656         0.00015         HIGH           
20     408.0000        0.96640         0.00015         HIGH           
21     411.0000        0.96582         0.00044         NORM           
22     414.0000        0.96702         0.00045         NORM           
23     429.0000        0.96638         0.00040         NORM           
24     449.0000        0.96725         0.00039         NORM           
