Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98539         0.00043         NORM           
1      0.5000          0.97983         0.00046         NORM           
2      1.0000          0.97532         0.00039         NORM           
3      5.0000          0.97596         0.00038         NORM           
4      10.0000         0.97462         0.00048         NORM           
5      20.0000         0.97254         0.00048         NORM           
6      50.0000         0.97150         0.00049         NORM           
7      100.0000        0.96804         0.00040         NORM           
8      200.0000        0.96417         0.00039         NORM           
9      250.0000        0.96478         0.00045         NORM           
10     350.0000        0.96226         0.00039         NORM           
11     399.5000        0.96042         0.00014         HIGH           
12     400.0000        0.96025         0.00015         HIGH           
13     400.0500        0.95990         0.00015         HIGH           
14     400.1500        0.95998         0.00015         HIGH           
15     400.3000        0.96065         0.00015         HIGH           
16     400.5000        0.96169         0.00013         HIGH           
17     401.0000        0.96452         0.00015         HIGH           
18     402.0000        0.96668         0.00015         HIGH           
19     405.0000        0.96704         0.00015         HIGH           
20     408.0000        0.96716         0.00015         HIGH           
21     411.0000        0.96806         0.00046         NORM           
22     414.0000        0.96636         0.00046         NORM           
23     429.0000        0.96648         0.00047         NORM           
24     449.0000        0.96735         0.00047         NORM           
