------ SIMULAZIONE DEL 24/03/2026 ALLE ORE 18:59 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_MAX     Arricch_min     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        7.03           7              350          600          1.00769      0.00014     0.97547     0.00020     132.54184   
101325.0    3.551       0.15        7.01           7              350          600          1.00752      0.00016     0.97547     0.00020     125.67019   
101325.0    3.551       0.15        7.01           7              350          600          1.00770      0.00014     0.97547     0.00020     133.44931   
101325.0    3.551       0.15        7.00           7              350          600          1.00740      0.00013     0.97547     0.00020     134.89622   
101325.0    3.551       0.15        7.00           7              350          600          1.00740      0.00013     0.97547     0.00020     132.49764   
101325.0    3.551       0.15        7.00           7              350          600          1.00767      0.00015     0.97547     0.00020     129.88090   
101325.0    3.551       0.15        7.00           7              350          600          1.00727      0.00015     0.97547     0.00020     128.63648   
101325.0    3.551       0.15        7.00           7              350          600          1.00743      0.00014     0.97547     0.00020     129.85954   
101325.0    3.551       0.15        7.00           7              350          600          1.00734      0.00014     0.97547     0.00020     131.56932   
101325.0    3.551       0.15        7.00           7              350          600          1.00758      0.00013     0.97547     0.00020     134.20169   
101325.0    3.551       0.15        7.00           7              350          600          1.00737      0.00014     0.97547     0.00020     132.19918   
101325.0    3.551       0.15        7.00           7              350          600          1.00731      0.00014     0.97547     0.00020     129.54246   
101325.0    3.551       0.15        7.00           7              350          600          1.00750      0.00016     0.97547     0.00020     124.85891   
101325.0    3.551       0.15        7.00           7              350          600          1.00722      0.00014     0.97547     0.00020     130.02858   
101325.0    3.551       0.15        7.00           7              350          600          1.00763      0.00014     0.97547     0.00020     131.20353   
101325.0    3.551       0.15        7.00           7              350          600          1.00757      0.00013     0.97547     0.00020     136.05494   
101325.0    3.551       0.15        7.00           7              350          600          1.00768      0.00014     0.97547     0.00020     132.36303   
101325.0    3.551       0.15        14.00          8              350          600          1.05366      0.00015     0.97547     0.00020     309.84232   
101325.0    3.551       0.15        11.00          8              350          600          1.04136      0.00013     0.97547     0.00020     276.35438   
101325.0    3.551       0.15        9.50           8              350          600          1.03348      0.00013     0.97547     0.00020     241.37465   
101325.0    3.551       0.15        8.75           8              350          600          1.02924      0.00014     0.97547     0.00020     221.39973   
101325.0    3.551       0.15        8.38           8              350          600          1.02707      0.00014     0.97547     0.00020     211.82307   
101325.0    3.551       0.15        8.19           8              350          600          1.02589      0.00012     0.97547     0.00020     213.85424   
101325.0    3.551       0.15        8.09           8              350          600          1.02567      0.00012     0.97547     0.00020     212.91152   
101325.0    3.551       0.15        8.05           8              350          600          1.02504      0.00015     0.97547     0.00020     198.39087   
101325.0    3.551       0.15        8.02           8              350          600          1.02516      0.00014     0.97547     0.00020     204.57582   
101325.0    3.551       0.15        8.01           8              350          600          1.02499      0.00016     0.97547     0.00020     192.60210   
101325.0    3.551       0.15        8.01           8              350          600          1.02474      0.00015     0.97547     0.00020     197.70097   
101325.0    3.551       0.15        8.00           8              350          600          1.02496      0.00013     0.97547     0.00020     208.71207   
101325.0    3.551       0.15        8.00           8              350          600          1.02452      0.00015     0.97547     0.00020     196.49497   
101325.0    3.551       0.15        8.00           8              350          600          1.02445      0.00013     0.97547     0.00020     204.13394   
101325.0    3.551       0.15        8.00           8              350          600          1.02480      0.00014     0.97547     0.00020     204.18851   
101325.0    3.551       0.15        8.00           8              350          600          1.02505      0.00014     0.97547     0.00020     203.70845   
101325.0    3.551       0.15        8.00           8              350          600          1.02514      0.00013     0.97547     0.00020     208.04775   
101325.0    3.551       0.15        8.00           8              350          600          1.02482      0.00015     0.97547     0.00020     198.98533   
101325.0    3.551       0.15        8.00           8              350          600          1.02471      0.00013     0.97547     0.00020     207.23041   
101325.0    3.551       0.15        8.00           8              350          600          1.02477      0.00013     0.97547     0.00020     207.52118   
101325.0    3.551       0.15        8.00           8              350          600          1.02496      0.00012     0.97547     0.00020     210.26260   
101325.0    3.551       0.15        8.00           8              350          600          1.02505      0.00013     0.97547     0.00020     206.72302   
101325.0    3.551       0.15        8.00           8              350          600          1.02488      0.00013     0.97547     0.00020     205.87756   
101325.0    3.551       0.15        8.00           8              350          600          1.02474      0.00013     0.97547     0.00020     204.56398   
101325.0    3.551       0.15        8.00           8              350          600          1.02507      0.00015     0.97547     0.00020     200.39786   
101325.0    3.551       0.15        14.50          9              350          600          1.06252      0.00013     0.97547     0.00020     367.20874   
101325.0    3.551       0.15        11.75          9              350          600          1.05206      0.00012     0.97547     0.00020     326.92653   
101325.0    3.551       0.15        10.38          9              350          600          1.04621      0.00013     0.97547     0.00020     294.44799   
101325.0    3.551       0.15        9.69           9              350          600          1.04271      0.00014     0.97547     0.00020     273.23636   
101325.0    3.551       0.15        9.34           9              350          600          1.04087      0.00012     0.97547     0.00020     280.10460   
101325.0    3.551       0.15        9.17           9              350          600          1.04045      0.00011     0.97547     0.00020     281.76048   
101325.0    3.551       0.15        9.09           9              350          600          1.03976      0.00015     0.97547     0.00020     259.49061   
101325.0    3.551       0.15        9.04           9              350          600          1.03967      0.00015     0.97547     0.00020     257.62982   
101325.0    3.551       0.15        9.02           9              350          600          1.03952      0.00014     0.97547     0.00020     264.32504   
101325.0    3.551       0.15        9.01           9              350          600          1.03952      0.00015     0.97547     0.00020     254.99337   
101325.0    3.551       0.15        9.01           9              350          600          1.03940      0.00014     0.97547     0.00020     263.06878   
101325.0    3.551       0.15        9.00           9              350          600          1.03941      0.00015     0.97547     0.00020     254.53016   
101325.0    3.551       0.15        9.00           9              350          600          1.03963      0.00013     0.97547     0.00020     267.20943   
101325.0    3.551       0.15        9.00           9              350          600          1.03932      0.00015     0.97547     0.00020     257.84029   
101325.0    3.551       0.15        9.00           9              350          600          1.03932      0.00014     0.97547     0.00020     263.14202   
101325.0    3.551       0.15        9.00           9              350          600          1.03938      0.00014     0.97547     0.00020     264.75661   
