Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98916         0.00050         NORM           
1      0.5000          0.98382         0.00044         NORM           
2      1.0000          0.98037         0.00044         NORM           
3      5.0000          0.98020         0.00049         NORM           
4      10.0000         0.97913         0.00044         NORM           
5      20.0000         0.97887         0.00061         NORM           
6      50.0000         0.97687         0.00049         NORM           
7      100.0000        0.97546         0.00051         NORM           
8      200.0000        0.97427         0.00051         NORM           
9      250.0000        0.97170         0.00050         NORM           
10     350.0000        0.97023         0.00060         NORM           
11     399.5000        0.97082         0.00017         HIGH           
12     400.0000        0.97046         0.00016         HIGH           
13     400.0500        0.97065         0.00017         HIGH           
14     400.1500        0.97098         0.00017         HIGH           
15     400.3000        0.97121         0.00017         HIGH           
16     400.5000        0.97185         0.00015         HIGH           
17     401.0000        0.97368         0.00016         HIGH           
18     402.0000        0.97527         0.00016         HIGH           
19     405.0000        0.97576         0.00017         HIGH           
20     408.0000        0.97560         0.00016         HIGH           
21     411.0000        0.97520         0.00043         NORM           
22     414.0000        0.97596         0.00049         NORM           
23     429.0000        0.97446         0.00060         NORM           
24     449.0000        0.97551         0.00050         NORM           
