Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98669         0.00044         NORM           
1      0.5000          0.98146         0.00050         NORM           
2      1.0000          0.97818         0.00038         NORM           
3      5.0000          0.97805         0.00050         NORM           
4      10.0000         0.97760         0.00052         NORM           
5      20.0000         0.97532         0.00047         NORM           
6      50.0000         0.97482         0.00046         NORM           
7      100.0000        0.97218         0.00041         NORM           
8      200.0000        0.96943         0.00041         NORM           
9      250.0000        0.96839         0.00044         NORM           
10     350.0000        0.96665         0.00049         NORM           
11     399.5000        0.96558         0.00017         HIGH           
12     400.0000        0.96574         0.00016         HIGH           
13     400.0500        0.96578         0.00016         HIGH           
14     400.1500        0.96582         0.00016         HIGH           
15     400.3000        0.96638         0.00014         HIGH           
16     400.5000        0.96719         0.00015         HIGH           
17     401.0000        0.96965         0.00016         HIGH           
18     402.0000        0.97133         0.00017         HIGH           
19     405.0000        0.97199         0.00016         HIGH           
20     408.0000        0.97178         0.00017         HIGH           
21     411.0000        0.97258         0.00058         NORM           
22     414.0000        0.97201         0.00052         NORM           
23     429.0000        0.97108         0.00049         NORM           
24     449.0000        0.97184         0.00044         NORM           
