Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98119         0.00054         NORM           
1      0.5000          0.97578         0.00048         NORM           
2      1.0000          0.97263         0.00044         NORM           
3      5.0000          0.97086         0.00045         NORM           
4      10.0000         0.96991         0.00040         NORM           
5      20.0000         0.97026         0.00047         NORM           
6      50.0000         0.96701         0.00043         NORM           
7      100.0000        0.96523         0.00047         NORM           
8      200.0000        0.96273         0.00044         NORM           
9      250.0000        0.96207         0.00052         NORM           
10     350.0000        0.95929         0.00045         NORM           
11     399.5000        0.95930         0.00016         HIGH           
12     400.0000        0.95908         0.00016         HIGH           
13     400.0500        0.95934         0.00015         HIGH           
14     400.1500        0.95941         0.00015         HIGH           
15     400.3000        0.95976         0.00017         HIGH           
16     400.5000        0.96102         0.00017         HIGH           
17     401.0000        0.96345         0.00017         HIGH           
18     402.0000        0.96507         0.00016         HIGH           
19     405.0000        0.96586         0.00016         HIGH           
20     408.0000        0.96583         0.00015         HIGH           
21     411.0000        0.96586         0.00051         NORM           
22     414.0000        0.96464         0.00037         NORM           
23     429.0000        0.96615         0.00038         NORM           
24     449.0000        0.96536         0.00052         NORM           
