Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.96718         0.00048         NORM           
1      0.5000          0.96624         0.00050         NORM           
2      1.0000          0.96618         0.00040         NORM           
3      5.0000          0.96552         0.00043         NORM           
4      10.0000         0.96581         0.00047         NORM           
5      20.0000         0.96564         0.00042         NORM           
6      50.0000         0.96534         0.00049         NORM           
7      100.0000        0.96466         0.00041         NORM           
8      200.0000        0.96366         0.00050         NORM           
9      250.0000        0.96220         0.00040         NORM           
10     350.0000        0.96110         0.00048         NORM           
11     399.5000        0.96059         0.00015         HIGH           
12     400.0000        0.96045         0.00015         HIGH           
13     400.0500        0.96066         0.00016         HIGH           
14     400.1500        0.96071         0.00015         HIGH           
15     400.3000        0.96079         0.00015         HIGH           
16     400.5000        0.96066         0.00015         HIGH           
17     401.0000        0.96113         0.00015         HIGH           
18     402.0000        0.96107         0.00016         HIGH           
19     405.0000        0.96153         0.00014         HIGH           
20     408.0000        0.96131         0.00014         HIGH           
21     411.0000        0.96044         0.00039         NORM           
22     414.0000        0.96189         0.00047         NORM           
23     429.0000        0.96105         0.00050         NORM           
24     449.0000        0.96159         0.00042         NORM           
